
==================================================
==== Processing Statistics ====
==================================================
Model: Qwen/Qwen2.5-VL-32B-Instruct
Video Load 240: 0.07s
Video Load 241: 0.15s
Video Load 242: 0.05s
Video Load 243: 0.16s
Video Load 244: 0.07s
Video Load 245: 0.07s
Video Load 246: 0.07s
Video Load 247: 0.15s
Video Load 248: 0.09s
Video Load 249: 0.20s
Video Load 250: 0.06s
Video Load 251: 0.09s
Video Load 252: 0.07s
Video Load 253: 0.07s
Video Load 254: 0.16s
Video Load 255: 0.14s
Video Load 256: 0.10s
Video Load 257: 0.07s
Video Load 258: 0.08s
Video Load 259: 0.07s
Video Load 260: 0.10s
Video Load 261: 0.04s
Video Load 262: 0.04s
Video Load 263: 0.10s
Video Load 264: 0.05s
Video Load 265: 0.04s
Video Load 266: 0.08s
Video Load 267: 0.08s
Video Load 268: 0.21s
Video Load 269: 0.28s
Video Load 270: 0.18s
Video Load 271: 0.21s
Video Load 272: 0.08s
Video Load 273: 0.10s
Video Load 274: 0.21s
Video Load 275: 0.11s
Video Load 276: 0.04s
Video Load 277: 0.12s
Average video load time: 0.12s
Min video load time: 0.03s
Max video load time: 0.43s
Std video load time: 0.07s

--- Inference Times ---
Inference 1: 14.78s
Inference 2: 6.26s
Inference 3: 6.81s
Inference 4: 5.26s
Inference 5: 8.10s
Inference 6: 7.07s
Inference 7: 6.33s
Inference 8: 8.42s
Inference 9: 8.14s
Inference 10: 5.77s
Inference 11: 8.57s
Inference 12: 6.30s
Inference 13: 7.01s
Inference 14: 5.76s
Inference 15: 5.64s
Inference 16: 12.35s
Inference 17: 6.07s
Inference 18: 5.77s
Inference 19: 9.13s
Inference 20: 10.53s
Inference 21: 6.55s
Inference 22: 5.07s
Inference 23: 8.37s
Inference 24: 5.83s
Inference 25: 8.03s
Inference 26: 6.16s
Inference 27: 10.73s
Inference 28: 12.31s
Inference 29: 9.97s
Inference 30: 8.48s
Inference 31: 8.71s
Inference 32: 9.57s
Inference 33: 9.04s
Inference 34: 8.37s
Inference 35: 10.45s
Inference 36: 5.74s
Inference 37: 9.59s
Inference 38: 7.13s
Inference 39: 10.22s
Inference 40: 5.61s
Inference 41: 6.54s
Inference 42: 7.13s
Inference 43: 5.32s
Inference 44: 6.62s
Inference 45: 5.96s
Inference 46: 7.18s
Inference 47: 8.51s
Inference 48: 5.37s
Inference 49: 6.70s
Inference 50: 6.27s
Inference 51: 9.63s
Inference 52: 8.00s
Inference 53: 6.18s
Inference 54: 11.51s
Inference 55: 6.80s
Inference 56: 8.45s
Inference 57: 5.20s
Inference 58: 12.63s
Inference 59: 6.55s
Inference 60: 7.83s
Inference 61: 8.07s
Inference 62: 6.59s
Inference 63: 7.68s
Inference 64: 7.14s
Inference 65: 9.00s
Inference 66: 5.65s
Inference 67: 5.72s
Inference 68: 5.92s
Inference 69: 6.10s
Inference 70: 10.60s
Inference 71: 6.38s
Inference 72: 5.19s
Inference 73: 11.28s
Inference 74: 6.15s
Inference 75: 10.94s
Inference 76: 6.59s
Inference 77: 6.79s
Inference 78: 5.49s
Inference 79: 7.16s
Inference 80: 11.06s
Inference 81: 12.00s
Inference 82: 4.82s
Inference 83: 8.09s
Inference 84: 3.66s
Inference 85: 3.95s
Inference 86: 4.85s
Inference 87: 9.35s
Inference 88: 6.83s
Inference 89: 5.95s
Inference 90: 11.36s
Inference 91: 7.10s
Inference 92: 6.07s
Inference 93: 5.69s
Inference 94: 7.21s
Inference 95: 9.24s
Inference 96: 6.66s
Inference 97: 10.36s
Inference 98: 6.21s
Inference 99: 5.61s
Inference 100: 7.22s
Inference 101: 9.73s
Inference 102: 13.80s
Inference 103: 8.38s
Inference 104: 8.86s
Inference 105: 9.10s
Inference 106: 11.34s
Inference 107: 7.02s
Inference 108: 5.37s
Inference 109: 7.45s
Inference 110: 5.87s
Inference 111: 6.95s
Inference 112: 5.57s
Inference 113: 8.85s
Inference 114: 4.72s
Inference 115: 9.22s
Inference 116: 8.04s
Inference 117: 6.23s
Inference 118: 6.82s
Inference 119: 5.75s
Inference 120: 7.38s
Inference 121: 6.51s
Inference 122: 7.13s
Inference 123: 12.10s
Inference 124: 8.63s
Inference 125: 6.10s
Inference 126: 5.10s
Inference 127: 7.16s
Inference 128: 4.52s
Inference 129: 6.18s
Inference 130: 6.86s
Inference 131: 6.30s
Inference 132: 7.22s
Inference 133: 6.40s
Inference 134: 11.66s
Inference 135: 5.34s
Inference 136: 7.27s
Inference 137: 6.84s
Inference 138: 8.71s
Inference 139: 5.50s
Inference 140: 9.52s
Inference 141: 6.84s
Inference 142: 8.21s
Inference 143: 11.92s
Inference 144: 6.22s
Inference 145: 6.47s
Inference 146: 7.13s
Inference 147: 4.98s
Inference 148: 9.37s
Inference 149: 4.45s
Inference 150: 8.92s
Inference 151: 6.53s
Inference 152: 6.24s
Inference 153: 4.75s
Inference 154: 10.07s
Inference 155: 9.77s
Inference 156: 5.14s
Inference 157: 10.22s
Inference 158: 4.51s
Inference 159: 3.83s
Inference 160: 6.45s
Inference 161: 7.99s
Inference 162: 7.11s
Inference 163: 6.10s
Inference 164: 6.74s
Inference 165: 6.74s
Inference 166: 6.72s
Inference 167: 6.34s
Inference 168: 8.98s
Inference 169: 10.68s
Inference 170: 10.97s
Inference 171: 9.69s
Inference 172: 9.08s
Inference 173: 7.84s
Inference 174: 13.60s
Inference 175: 5.57s
Inference 176: 7.88s
Inference 177: 8.16s
Inference 178: 9.49s
Inference 179: 6.13s
Inference 180: 6.89s
Inference 181: 11.26s
Inference 182: 6.89s
Inference 183: 7.92s
Inference 184: 10.64s
Inference 185: 10.51s
Inference 186: 8.55s
Inference 187: 12.44s
Inference 188: 5.53s
Inference 189: 8.71s
Inference 190: 9.43s
Inference 191: 5.65s
Inference 192: 9.83s
Inference 193: 6.78s
Inference 194: 5.78s
Inference 195: 5.43s
Inference 196: 4.30s
Inference 197: 5.62s
Inference 198: 6.46s
Inference 199: 11.00s
Inference 200: 5.73s
Inference 201: 9.76s
Inference 202: 5.93s
Inference 203: 5.39s
Inference 204: 13.17s
Inference 205: 6.27s
Inference 206: 8.30s
Inference 207: 9.70s
Inference 208: 4.27s
Inference 209: 5.89s
Inference 210: 7.49s
Inference 211: 7.10s
Inference 212: 11.29s
Inference 213: 11.38s
Inference 214: 5.91s
Inference 215: 7.32s
Inference 216: 10.95s
Inference 217: 8.56s
Inference 218: 7.34s
Inference 219: 6.00s
Inference 220: 8.65s
Inference 221: 3.69s
Inference 222: 8.23s
Inference 223: 5.73s
Inference 224: 9.10s
Inference 225: 7.05s
Inference 226: 4.62s
Inference 227: 7.30s
Inference 228: 6.25s
Inference 229: 5.47s
Inference 230: 5.87s
Inference 231: 5.60s
Inference 232: 6.33s
Inference 233: 6.36s
Inference 234: 7.03s
Inference 235: 8.26s
Inference 236: 5.74s
Inference 237: 5.73s
Inference 238: 12.17s
Inference 239: 9.96s
Inference 240: 5.50s
Inference 241: 7.50s
Inference 242: 4.71s
Inference 243: 6.47s
Inference 244: 5.44s
Inference 245: 7.14s
Inference 246: 7.77s
Inference 247: 7.41s
Inference 248: 8.54s
Inference 249: 9.62s
Inference 250: 5.58s
Inference 251: 5.38s
Inference 252: 4.87s
Inference 253: 4.14s
Inference 254: 9.96s
Inference 255: 7.50s
Inference 256: 5.86s
Inference 257: 7.85s
Inference 258: 5.09s
Inference 259: 5.28s
Inference 260: 6.80s
Inference 261: 4.20s
Inference 262: 4.26s
Inference 263: 5.60s
Inference 264: 6.69s
Inference 265: 4.73s
Inference 266: 7.02s
Inference 267: 6.65s
Inference 268: 10.06s
Inference 269: 10.33s
Inference 270: 8.85s
Inference 271: 10.32s
Inference 272: 5.75s
Inference 273: 9.46s
Inference 274: 8.48s
Inference 275: 6.86s
Inference 276: 4.82s
Inference 277: 7.71s
Average inference time: 7.50s
Min inference time: 3.66s
Max inference time: 14.78s
Std inference time: 2.14s
Average video load time: 0.12s
Average inference time: 7.50s

Total processing time: 2491.17s
