
==================================================
==== Processing Statistics ====
==================================================
Model: Qwen/Qwen2.5-VL-32B-Instruct
Video Load 240: 1.22s
Video Load 241: 1.76s
Video Load 242: 0.51s
Video Load 243: 2.49s
Video Load 244: 0.53s
Video Load 245: 0.75s
Video Load 246: 2.98s
Video Load 247: 2.06s
Video Load 248: 2.41s
Video Load 249: 1.98s
Video Load 250: 0.74s
Video Load 251: 0.62s
Video Load 252: 0.56s
Video Load 253: 0.56s
Video Load 254: 5.20s
Video Load 255: 2.26s
Video Load 256: 1.28s
Video Load 257: 2.51s
Video Load 258: 0.51s
Video Load 259: 0.65s
Video Load 260: 0.83s
Video Load 261: 0.52s
Video Load 262: 0.50s
Video Load 263: 1.62s
Video Load 264: 1.51s
Video Load 265: 0.93s
Video Load 266: 3.19s
Video Load 267: 2.21s
Video Load 268: 3.59s
Video Load 269: 5.16s
Video Load 270: 4.46s
Video Load 271: 4.33s
Video Load 272: 0.73s
Video Load 273: 3.12s
Video Load 274: 2.52s
Video Load 275: 2.10s
Video Load 276: 0.36s
Video Load 277: 1.19s
Average video load time: 2.12s
Min video load time: 0.18s
Max video load time: 8.49s
Std video load time: 1.42s

--- Inference Times ---
Inference 1: 17.79s
Inference 2: 10.30s
Inference 3: 9.99s
Inference 4: 9.45s
Inference 5: 10.99s
Inference 6: 9.92s
Inference 7: 11.42s
Inference 8: 11.02s
Inference 9: 12.64s
Inference 10: 10.35s
Inference 11: 11.86s
Inference 12: 10.23s
Inference 13: 9.79s
Inference 14: 8.87s
Inference 15: 10.24s
Inference 16: 13.73s
Inference 17: 9.69s
Inference 18: 9.98s
Inference 19: 13.85s
Inference 20: 12.14s
Inference 21: 11.59s
Inference 22: 9.31s
Inference 23: 10.25s
Inference 24: 12.02s
Inference 25: 11.90s
Inference 26: 10.37s
Inference 27: 11.21s
Inference 28: 13.55s
Inference 29: 11.54s
Inference 30: 10.54s
Inference 31: 9.95s
Inference 32: 13.19s
Inference 33: 12.45s
Inference 34: 11.91s
Inference 35: 11.70s
Inference 36: 10.57s
Inference 37: 13.51s
Inference 38: 11.03s
Inference 39: 13.86s
Inference 40: 9.38s
Inference 41: 66.05s
Inference 42: 10.15s
Inference 43: 8.58s
Inference 44: 10.86s
Inference 45: 9.31s
Inference 46: 10.73s
Inference 47: 10.09s
Inference 48: 10.27s
Inference 49: 10.90s
Inference 50: 9.27s
Inference 51: 13.22s
Inference 52: 13.57s
Inference 53: 9.92s
Inference 54: 11.25s
Inference 55: 10.20s
Inference 56: 12.15s
Inference 57: 8.36s
Inference 58: 13.43s
Inference 59: 9.74s
Inference 60: 9.52s
Inference 61: 11.20s
Inference 62: 9.82s
Inference 63: 9.98s
Inference 64: 10.37s
Inference 65: 12.02s
Inference 66: 9.71s
Inference 67: 9.47s
Inference 68: 9.97s
Inference 69: 9.92s
Inference 70: 14.10s
Inference 71: 69.63s
Inference 72: 9.53s
Inference 73: 13.06s
Inference 74: 10.86s
Inference 75: 11.97s
Inference 76: 10.64s
Inference 77: 9.90s
Inference 78: 9.30s
Inference 79: 9.50s
Inference 80: 12.40s
Inference 81: 13.55s
Inference 82: 11.51s
Inference 83: 12.60s
Inference 84: 7.66s
Inference 85: 9.17s
Inference 86: 9.73s
Inference 87: 12.23s
Inference 88: 10.33s
Inference 89: 10.43s
Inference 90: 11.90s
Inference 91: 12.16s
Inference 92: 9.83s
Inference 93: 10.23s
Inference 94: 9.96s
Inference 95: 11.87s
Inference 96: 10.36s
Inference 97: 12.56s
Inference 98: 9.70s
Inference 99: 10.17s
Inference 100: 10.05s
Inference 101: 12.36s
Inference 102: 13.39s
Inference 103: 11.07s
Inference 104: 12.12s
Inference 105: 12.01s
Inference 106: 13.67s
Inference 107: 9.61s
Inference 108: 9.88s
Inference 109: 11.93s
Inference 110: 9.44s
Inference 111: 10.87s
Inference 112: 9.28s
Inference 113: 10.81s
Inference 114: 9.24s
Inference 115: 11.62s
Inference 116: 11.48s
Inference 117: 9.70s
Inference 118: 10.87s
Inference 119: 10.75s
Inference 120: 11.21s
Inference 121: 10.18s
Inference 122: 9.26s
Inference 123: 15.86s
Inference 124: 10.49s
Inference 125: 9.96s
Inference 126: 9.90s
Inference 127: 9.97s
Inference 128: 8.93s
Inference 129: 9.36s
Inference 130: 10.06s
Inference 131: 10.04s
Inference 132: 9.71s
Inference 133: 9.83s
Inference 134: 12.91s
Inference 135: 10.05s
Inference 136: 10.46s
Inference 137: 11.22s
Inference 138: 10.49s
Inference 139: 9.33s
Inference 140: 11.22s
Inference 141: 10.24s
Inference 142: 10.03s
Inference 143: 11.83s
Inference 144: 9.64s
Inference 145: 10.97s
Inference 146: 11.91s
Inference 147: 9.03s
Inference 148: 11.54s
Inference 149: 8.42s
Inference 150: 10.73s
Inference 151: 8.02s
Inference 152: 10.38s
Inference 153: 9.49s
Inference 154: 12.63s
Inference 155: 12.27s
Inference 156: 10.38s
Inference 157: 12.35s
Inference 158: 8.33s
Inference 159: 7.97s
Inference 160: 10.43s
Inference 161: 11.74s
Inference 162: 9.36s
Inference 163: 9.49s
Inference 164: 9.75s
Inference 165: 11.79s
Inference 166: 10.77s
Inference 167: 8.90s
Inference 168: 11.70s
Inference 169: 12.81s
Inference 170: 14.55s
Inference 171: 12.87s
Inference 172: 10.38s
Inference 173: 11.87s
Inference 174: 13.30s
Inference 175: 10.00s
Inference 176: 10.95s
Inference 177: 11.71s
Inference 178: 11.43s
Inference 179: 11.34s
Inference 180: 10.23s
Inference 181: 13.20s
Inference 182: 10.63s
Inference 183: 11.33s
Inference 184: 10.65s
Inference 185: 13.31s
Inference 186: 11.70s
Inference 187: 13.36s
Inference 188: 9.56s
Inference 189: 12.36s
Inference 190: 11.55s
Inference 191: 10.44s
Inference 192: 11.93s
Inference 193: 11.38s
Inference 194: 10.05s
Inference 195: 9.63s
Inference 196: 7.98s
Inference 197: 10.32s
Inference 198: 10.60s
Inference 199: 11.53s
Inference 200: 8.83s
Inference 201: 11.63s
Inference 202: 12.34s
Inference 203: 10.04s
Inference 204: 15.12s
Inference 205: 9.59s
Inference 206: 10.48s
Inference 207: 12.82s
Inference 208: 8.62s
Inference 209: 9.36s
Inference 210: 10.63s
Inference 211: 11.83s
Inference 212: 13.68s
Inference 213: 13.42s
Inference 214: 9.86s
Inference 215: 10.13s
Inference 216: 13.23s
Inference 217: 12.72s
Inference 218: 11.58s
Inference 219: 8.96s
Inference 220: 12.06s
Inference 221: 9.26s
Inference 222: 10.20s
Inference 223: 8.33s
Inference 224: 11.41s
Inference 225: 9.16s
Inference 226: 9.36s
Inference 227: 12.14s
Inference 228: 11.78s
Inference 229: 10.46s
Inference 230: 11.29s
Inference 231: 9.54s
Inference 232: 11.16s
Inference 233: 10.21s
Inference 234: 11.36s
Inference 235: 13.58s
Inference 236: 8.77s
Inference 237: 9.54s
Inference 238: 12.29s
Inference 239: 11.01s
Inference 240: 9.39s
Inference 241: 9.94s
Inference 242: 9.39s
Inference 243: 10.23s
Inference 244: 10.60s
Inference 245: 8.41s
Inference 246: 12.54s
Inference 247: 9.82s
Inference 248: 11.24s
Inference 249: 13.38s
Inference 250: 10.47s
Inference 251: 9.71s
Inference 252: 8.37s
Inference 253: 10.45s
Inference 254: 14.64s
Inference 255: 9.86s
Inference 256: 9.84s
Inference 257: 11.80s
Inference 258: 9.20s
Inference 259: 9.86s
Inference 260: 10.34s
Inference 261: 7.45s
Inference 262: 10.32s
Inference 263: 8.41s
Inference 264: 9.80s
Inference 265: 10.01s
Inference 266: 13.39s
Inference 267: 10.29s
Inference 268: 12.01s
Inference 269: 11.74s
Inference 270: 11.19s
Inference 271: 12.72s
Inference 272: 8.85s
Inference 273: 12.38s
Inference 274: 10.88s
Inference 275: 10.61s
Inference 276: 10.43s
Inference 277: 10.66s
Average inference time: 11.27s
Min inference time: 7.45s
Max inference time: 69.63s
Std inference time: 5.06s
Average video load time: 2.12s
Average inference time: 11.27s

Total processing time: 3999.30s
